 ,'&','(',')','*','+',"','",'-','/',';','<','<=','<>','=','==','>','>=','char','charType','else','float','floatType','id','if','int','intType','return','start','void','while','{','|','}',$end,AssignStmnt,CondStmnt,DataType,DeclStmnt,FuncDataType,FunctCall,IdList,IdListother,LoopStmnt,ParamList,RetStmnt,and,any,argument,arguments,arithemticOrBooleanexpr,arithmeticexpr,const,div,eq,expr,factor,function,functions,ge,gt,le,logicalop,lt,minus,mult,ne,newexpr2,newexpr3,newexpr4,newexpr5,or,plus,program,program1,relationalop,startprog,stmnt,stmnts,term,term1
116,r60,,r60,s98,r60,r60,r60,s99,r60,r60,r60,r60,,r60,r60,r60,,,,,,,,,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,96,,,,,129,,,,,,,,,,
117,r57,,r57,,s103,r57,s104,,r57,r57,r57,r57,,r57,r57,r57,,,,,,,,,,,,,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,130,,,102,,,,,,,,
118,r57,,r57,,s103,r57,s104,,r57,r57,r57,r57,,r57,r57,r57,,,,,,,,,,,,,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,131,,,102,,,,,,,,
119,r36,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,r36,r36,r36,,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,r81,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,r81,r81,r81,,,,,,,,,,,,,,,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,r12,,,r12,,r12,r12,r12,,r12,,,r12,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
